Run	Num W	Num R	JSD	Same states
434	5	1008	1.0	False
435	5	64	0.9999999999999998	False
436	5	881	1.0	False
437	5	1021	1.0	False
438	5	147	0.9999999999999998	False
439	5	61	1.0	False
440	5	66	0.9999999999999998	False
441	5	128	1.0	False
442	5	944	1.0	False
443	5	54	1.0	False
444	5	8	1.0	False
445	5	167	0.9999999999999998	False
446	5	31	1.0	False
447	5	907	1.0	False
448	5	156	1.0	False
449	5	312	1.0	False
450	5	178	1.0	False
451	5	107	1.0	False
452	5	70	0.9999999999999998	False
453	5	91	1.0	False
454	5	260	1.0	False
455	5	80	1.0	False
456	5	108	0.9999999999999998	False
457	5	137	1.0	False
458	5	1022	0.9999999999999998	False
459	5	981	1.0	False
460	5	211	1.0	False
461	5	103	1.0	False
462	5	443	1.0	False
463	5	24	0.9999999999999998	False
464	5	1024	1.0	False
465	5	47	1.0	False
466	5	90	0.9999999999999998	False
467	5	847	1.0	False
468	5	55	0.9999999999999998	False
469	5	22	1.0	False
470	5	464	1.0	False
471	5	119	0.9999999999999998	False
